model,bound_state,n_bound,relaxation_multiples_c,gamma,mean_error_fraction_after_c,mean_progress_fraction_after_c,prob_SOS_dwell_survives_c_relaxations,mean_residual_fraction_at_unbinding,mean_completed_fraction_at_unbinding
Model3,GDP,1,1.0,0.0025,0.36787944117144233,0.6321205588285577,1.9151695967140057e-174,0.9975062344139651,0.002493765586034913
Model3,GDP,1,2.0,0.0025,0.1353352832366127,0.8646647167633873,0.0,0.9975062344139651,0.002493765586034913
Model3,GDP,1,3.0,0.0025,0.049787068367863944,0.950212931632136,0.0,0.9975062344139651,0.002493765586034913
Model3,GDP,1,5.0,0.0025,0.006737946999085467,0.9932620530009145,0.0,0.9975062344139651,0.002493765586034913
Model3,GDP,2,1.0,0.0045,0.36787944117144233,0.6321205588285577,3.09111478657153e-97,0.9955201592832256,0.004479840716774514
Model3,GDP,2,2.0,0.0045,0.1353352832366127,0.8646647167633873,9.554990623761158e-194,0.9955201592832256,0.004479840716774514
Model3,GDP,2,3.0,0.0045,0.049787068367863944,0.950212931632136,2.953557280265877e-290,0.9955201592832256,0.004479840716774514
Model3,GDP,2,5.0,0.0045,0.006737946999085467,0.9932620530009145,0.0,0.9955201592832256,0.004479840716774514
Model3,GDP,3,1.0,0.006500000000000001,0.36787944117144233,0.6321205588285577,1.5327252873438256e-67,0.9935419771485345,0.006458022851465475
Model3,GDP,3,2.0,0.006500000000000001,0.1353352832366127,0.8646647167633873,2.349246806463213e-134,0.9935419771485345,0.006458022851465475
Model3,GDP,3,3.0,0.006500000000000001,0.049787068367863944,0.950212931632136,3.6007499864779944e-201,0.9935419771485345,0.006458022851465475
Model3,GDP,3,5.0,0.006500000000000001,0.006737946999085467,0.9932620530009145,0.0,0.9935419771485345,0.006458022851465475
Model3,GDP,4,1.0,0.0085,0.36787944117144233,0.6321205588285577,8.063647617608365e-52,0.991571641051066,0.008428358948934062
Model3,GDP,4,2.0,0.0085,0.1353352832366127,0.8646647167633873,6.502241290096106e-103,0.991571641051066,0.008428358948934062
